"ลำดับ","Item ID","ชื่อสินค้า","ราคาปัจจุบันต่ำสุด (บาท)","ราคาปัจจุบันสูงสุด (บาท)","ราคาเดิมต่ำสุด (บาท)","ราคาเดิมสูงสุด (บาท)","ส่วนลด","คะแนนสินค้า","จำนวนรีวิว","ขายแล้ว (ชิ้น)","สต็อกที่แสดง","หมวดหมู่","ตัวเลือกสินค้า","จำนวนตัวเลือก","จำนวนรูป","รายละเอียด (ย่อ)","URL สินค้า","โฟลเดอร์ข้อมูล/รูป","วันเก็บข้อมูล"
"11","54755163486","[รุ่นยอดนิยม] มีมนตร์ กระเป๋าสตางค์ ขนาดใบกลาง หนังแท้พรีเมียม","2599","2599","","","","5","2","6","จำนวน
สินค้าพร้อมส่ง","Shopee > กระเป๋า > กระเป๋าสตางค์ > กระเป๋าสตางค์ผู้หญิง","สี: ส้ม | เหลือง | ฟ้า | ม่วง | เขียว | เบจ | ชมพูเข้ม | ดำ | แดง","9","12","กระเป๋าสตางค์ใบกลางหนังแท้พรีเมียม ✨ กระเป๋าสตางค์ใบกลาง ทำจากหนังแท้ พร้อมสายคล้องมือ ดีไซน์มีฟังก์ชั่นด้านหน้า 6 ช่องใส่บัตร 2 ช่องลับ ช่องซิปด้านบนสำหรับธนบัตร ขนาดพกพาสะดวก ใช้งานง่าย ตอบโจทย์สำหรับผู้ที่ชอบกระเป๋าเล็ก แต่จุได้เยอะ ฟีเจอร์พิเศษ 6 ช่องใส่บัตร + 2 ช่องลับ ช่อง…","https://shopee.co.th/-%E0%B8%A3%E0%B8%B8%E0%B9%88%E0%B8%99%E0%B8%A2%E0%B8%AD%E0%B8%94%E0%B8%99%E0%B8%B4%E0%B8%A2%E0%B8%A1-%E0%B8%A1%E0%B8%B5%E0%B8%A1%E0%B8%99%E0%B8%95%E0%B8%A3%E0%B9%8C-%E0%B8%81%E0%B8%A3%E0%B8%B0%E0%B9%80%E0%B8%9B%E0%B9%8B%E0%B8%B2%E0%B8%AA%E0%B8%95%E0%B8%B2%E0%B8%87%E0%B8%84%E0%B9%8C-%E0%B8%82%E0%B8%99%E0%B8%B2%E0%B8%94%E0%B9%83%E0%B8%9A%E0%B8%81%E0%B8%A5%E0%B8%B2%E0%B8%87-%E0%B8%AB%E0%B8%99%E0%B8%B1%E0%B8%87%E0%B9%81%E0%B8%97%E0%B9%89%E0%B8%9E%E0%B8%A3%E0%B8%B5%E0%B9%80%E0%B8%A1%E0%B8%B5%E0%B8%A2%E0%B8%A1-i.35401261.54755163486?extraParams=%7B%22display_model_id%22%3A272358196685%2C%22model_selection_logic%22%3A3%7D","products/54755163486","2026-07-29T04:18:50.639Z"
"12","55107507648","มีมนตร์ กำไลตากรุดหวายเมืองเหือง 2026","1699","3698","","","","","0","0","จำนวน
สินค้าพร้อมส่ง","Shopee > เครื่องประดับ > กำไล > อื่นๆ","แบบ: เชือกเขียว นะเมตตา | เชือกแดง ป้องกัน | เชือกดำ ความปัง | คู่กระเป๋าสามเหลี่ยม | กระเป๋าหนัง","5","6","🍀💰 กำไลตะกรุดหวายมีมนตร์ วาระพิเศษ ✨✨ ⚫️เชือกดำ ความหมาย โชค ลาภ 💰 🔴เชือกแดง ความหมาย ป้องกัน. 🫶 🟢เชือกเขียว ความหมาย นะเมตตา . 💖 👉เลือกกดสั่งเฉพาะกำไล 👉👉หรือ กดสั่งแบบกำไล+กระเป๋าสามเหลี่ยมหนังแท้ 📍หากกดสั่งพร้อมกระเป่าสามเหลี่ยมหนังแท้ คุณกิ่งจะเลือกสีกระเป๋าให้นะคะ","https://shopee.co.th/%E0%B8%A1%E0%B8%B5%E0%B8%A1%E0%B8%99%E0%B8%95%E0%B8%A3%E0%B9%8C-%E0%B8%81%E0%B8%B3%E0%B9%84%E0%B8%A5%E0%B8%95%E0%B8%B2%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%94%E0%B8%AB%E0%B8%A7%E0%B8%B2%E0%B8%A2%E0%B9%80%E0%B8%A1%E0%B8%B7%E0%B8%AD%E0%B8%87%E0%B9%80%E0%B8%AB%E0%B8%B7%E0%B8%AD%E0%B8%87-2026-i.35401261.55107507648?extraParams=%7B%22display_model_id%22%3A325668476636%2C%22model_selection_logic%22%3A3%7D","products/55107507648","2026-07-29T04:18:53.686Z"
"13","56009564515","การ์ดโฮลเดอร์หนังแท้ มีมนตร์ รุ่น Eye Meemon ช่องซิป มีสายคล้องมือ (พร้อมซองมงคล+e-book)","1999","1999","","","","5","1","3","จำนวน
สินค้าพร้อมส่ง","Shopee > กระเป๋า > กระเป๋าสตางค์ > กระเป๋าสตางค์ผู้หญิง","สี: ส้ม | แดง | เขียว | เหลือง | ชมพู | ม่วง | น้ำเงิน","7","8","2026 มีมนตร์ การ์ดโฮลเดอร์หนังแท้ มี2 ช่องด้านหน้า 3ช่องด้านหลัง มีช่องซิป พร้อมสายคล้องมือ หนังแท้ พรีเมียม มีกลิ่นหอมเป็นเอกลักษณ์เฉพาะของมีมนตร์ ประดับสัญลักษณ์ดวงตา รุ่นนี้มากด้วยความพิเศษ และผลิตจำนวนจำกัด","https://shopee.co.th/%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B9%8C%E0%B8%94%E0%B9%82%E0%B8%AE%E0%B8%A5%E0%B9%80%E0%B8%94%E0%B8%AD%E0%B8%A3%E0%B9%8C%E0%B8%AB%E0%B8%99%E0%B8%B1%E0%B8%87%E0%B9%81%E0%B8%97%E0%B9%89-%E0%B8%A1%E0%B8%B5%E0%B8%A1%E0%B8%99%E0%B8%95%E0%B8%A3%E0%B9%8C-%E0%B8%A3%E0%B8%B8%E0%B9%88%E0%B8%99-Eye-Meemon-%E0%B8%8A%E0%B9%88%E0%B8%AD%E0%B8%87%E0%B8%8B%E0%B8%B4%E0%B8%9B-%E0%B8%A1%E0%B8%B5%E0%B8%AA%E0%B8%B2%E0%B8%A2%E0%B8%84%E0%B8%A5%E0%B9%89%E0%B8%AD%E0%B8%87%E0%B8%A1%E0%B8%B7%E0%B8%AD-(%E0%B8%9E%E0%B8%A3%E0%B9%89%E0%B8%AD%E0%B8%A1%E0%B8%8B%E0%B8%AD%E0%B8%87%E0%B8%A1%E0%B8%87%E0%B8%84%E0%B8%A5-e-book)-i.35401261.56009564515?extraParams=%7B%22display_model_id%22%3A435846039892%2C%22model_selection_logic%22%3A3%7D","products/56009564515","2026-07-29T04:18:56.533Z"
"14","45261063328","[ NEW ดวงตาทิเบต ] กระเป๋าสตางค์มีมนตร์ ซ่อนเงิน ลิมิเตด หนังแท้พรีเมียม 2026","3999","3999","4599","4599","-13%","5","1","1","จำนวน
สินค้าพร้อมส่ง","Shopee > กระเป๋า > กระเป๋าสตางค์ > กระเป๋าสตางค์ผู้หญิง","สี: ส้ม เปิดประตูการเงิน | ชมพู เสน่ห์รุ่งเรือง | แดง เงินลับเงินไว | ฟ้า รวยซ้ำซ้อน | ดำ เงินก้อน เงินลับ | เหลือง เงินเทวดา | ทอง เงินเร็วหลายทาง | เขียวมัทฉะ วาจาทรัพย | ม่วง เงินใหญ่ | ขาว 462 เลขเทวดา | น้ำตาล 168 ฮกลกซิ่ว | น้ำเงิน 789 เลขมังกร","12","12","เฉพาะกิจ รุ่นดวงตา โครตปัง 🌟 กระเป๋าสตางค์ MEEMON Limited New2026 🌟 วัสดุ: กระเป๋าสตางค์ทำจากหนังแท้พรีเมียม รุ่นสายสอด ให้ความรู้สึกหอมเมื่อใช้งาน. เปิดเฉพาะกิจ MEEMON Limited New2026. ความพิเศษ: กระเป๋าสตางค์นี้เป็นรุ่นลิมิเตด ชมภาพเพิ่มเติม ทางข้อความได้เลยนะคะ","https://shopee.co.th/-NEW-%E0%B8%94%E0%B8%A7%E0%B8%87%E0%B8%95%E0%B8%B2%E0%B8%97%E0%B8%B4%E0%B9%80%E0%B8%9A%E0%B8%95-%E0%B8%81%E0%B8%A3%E0%B8%B0%E0%B9%80%E0%B8%9B%E0%B9%8B%E0%B8%B2%E0%B8%AA%E0%B8%95%E0%B8%B2%E0%B8%87%E0%B8%84%E0%B9%8C%E0%B8%A1%E0%B8%B5%E0%B8%A1%E0%B8%99%E0%B8%95%E0%B8%A3%E0%B9%8C-%E0%B8%8B%E0%B9%88%E0%B8%AD%E0%B8%99%E0%B9%80%E0%B8%87%E0%B8%B4%E0%B8%99-%E0%B8%A5%E0%B8%B4%E0%B8%A1%E0%B8%B4%E0%B9%80%E0%B8%95%E0%B8%94-%E0%B8%AB%E0%B8%99%E0%B8%B1%E0%B8%87%E0%B9%81%E0%B8%97%E0%B9%89%E0%B8%9E%E0%B8%A3%E0%B8%B5%E0%B9%80%E0%B8%A1%E0%B8%B5%E0%B8%A2%E0%B8%A1-2026-i.35401261.45261063328?extraParams=%7B%22display_model_id%22%3A380993396929%2C%22model_selection_logic%22%3A3%7D","products/45261063328","2026-07-29T04:18:59.982Z"
"15","48405180890","[ NEW2026 Gen Audy ] มีมนตร์ เจน ออดี้ กระเป๋าสตางค์พับสั้น หนังแท้พรีเมียม MEEMON Gen Audy 2026","2899","2899","","","","","0","0","จำนวน
สินค้าพร้อมส่ง","Shopee > กระเป๋า > กระเป๋าสตางค์ > กระเป๋าสตางค์ผู้ชาย","สี: น้ำตาล | ม่วง | แดง | ส้ม | เหลือง | ขาว | ดำ | น้ำเงินเข้ม","8","9","🌟 ผลิตภัณฑ์ใหม่ 2026 🌟 Meemon Gen Audy กระเป๋าสตางค์พับสั้น หนังแท้พรีเมียม ใหม่! ดีไซน์ใหม่ รับปีม้า ตอบโจทย์ทุกการใช้งาน พร้อมทุกไลฟ์สไตล์ จาก กิ่งมีมนตร์ 📌 รายละเอียดสินค้า วัสดุ: หนังแท้พรีเมียม กลิ่น: กลิ่นหอมเฉพาะของมีมนตร์ สัญลักษณ์: ประดับสัญลักษณ์ดวงตาสามเหลี่ยม ผ่าน…","https://shopee.co.th/-NEW2026-Gen-Audy-%E0%B8%A1%E0%B8%B5%E0%B8%A1%E0%B8%99%E0%B8%95%E0%B8%A3%E0%B9%8C-%E0%B9%80%E0%B8%88%E0%B8%99-%E0%B8%AD%E0%B8%AD%E0%B8%94%E0%B8%B5%E0%B9%89-%E0%B8%81%E0%B8%A3%E0%B8%B0%E0%B9%80%E0%B8%9B%E0%B9%8B%E0%B8%B2%E0%B8%AA%E0%B8%95%E0%B8%B2%E0%B8%87%E0%B8%84%E0%B9%8C%E0%B8%9E%E0%B8%B1%E0%B8%9A%E0%B8%AA%E0%B8%B1%E0%B9%89%E0%B8%99-%E0%B8%AB%E0%B8%99%E0%B8%B1%E0%B8%87%E0%B9%81%E0%B8%97%E0%B9%89%E0%B8%9E%E0%B8%A3%E0%B8%B5%E0%B9%80%E0%B8%A1%E0%B8%B5%E0%B8%A2%E0%B8%A1-MEEMON-Gen-Audy-2026-i.35401261.48405180890?extraParams=%7B%22display_model_id%22%3A297357788388%2C%22model_selection_logic%22%3A3%7D","products/48405180890","2026-07-29T04:19:02.826Z"
"16","49306921204","[ เฉพาะกิจ ] กำไลจากคำชะโนด กิ่งรับฝากบูชา พร้อมอธิษฐานให้ที่คำชะโนด คละแบบ คละสี คละลาย","159","159","","","","","0","0","จำนวน
สินค้าพร้อมส่ง","Shopee > เครื่องประดับ > กำไล > จี้กำไล","","0","4","เปิดเฉพาะกิจนะคะ กำไลจากคำชะโนด ขออนุญาติอธิฐาน และหยิบคละแบบคละสีคละลายให้นะคะ กิ่งรับฝากบูชา พร้อมอธิษฐานให้ที่คำชะโนด คละแบบคละสี คละลาย พร้อมนำเข้าพิธีบวงสรวง ที่คำชะโนดให้ วันที่ 9 มีนานี้ค่ะ","https://shopee.co.th/-%E0%B9%80%E0%B8%89%E0%B8%9E%E0%B8%B2%E0%B8%B0%E0%B8%81%E0%B8%B4%E0%B8%88-%E0%B8%81%E0%B8%B3%E0%B9%84%E0%B8%A5%E0%B8%88%E0%B8%B2%E0%B8%81%E0%B8%84%E0%B8%B3%E0%B8%8A%E0%B8%B0%E0%B9%82%E0%B8%99%E0%B8%94-%E0%B8%81%E0%B8%B4%E0%B9%88%E0%B8%87%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%9D%E0%B8%B2%E0%B8%81%E0%B8%9A%E0%B8%B9%E0%B8%8A%E0%B8%B2-%E0%B8%9E%E0%B8%A3%E0%B9%89%E0%B8%AD%E0%B8%A1%E0%B8%AD%E0%B8%98%E0%B8%B4%E0%B8%A9%E0%B8%90%E0%B8%B2%E0%B8%99%E0%B9%83%E0%B8%AB%E0%B9%89%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B8%84%E0%B8%B3%E0%B8%8A%E0%B8%B0%E0%B9%82%E0%B8%99%E0%B8%94-%E0%B8%84%E0%B8%A5%E0%B8%B0%E0%B9%81%E0%B8%9A%E0%B8%9A-%E0%B8%84%E0%B8%A5%E0%B8%B0%E0%B8%AA%E0%B8%B5-%E0%B8%84%E0%B8%A5%E0%B8%B0%E0%B8%A5%E0%B8%B2%E0%B8%A2-i.35401261.49306921204?extraParams=%7B%22display_model_id%22%3A355616470865%2C%22model_selection_logic%22%3A3%7D","products/49306921204","2026-07-29T04:19:18.781Z"
"17","56758239381","เมล็ดข้าวเงินแท้ มีมนตร์ พกติดกระเป๋าเป็นมงคล ขนาดเท่าเมล็ดข้าวจริง สวยงาม เงินแท้","599","2995","","","","","0","0","จำนวน
1 เมล็ด
2 เมล็ด
3 เมล็ด
5 เมล็ด
แบบตะกรุด 1 เมล็ด
แบบตะกรุด 3 เมล็ด","Shopee > เครื่องประดับ > อื่นๆ","","0","5","เมล็ดข้าวสาร เงินแท้ สลักยันต์อักขระ พกติดกระเป๋าสตางค์เป็นมงคล ผลิตเพียงครั้งเดียว","https://shopee.co.th/%E0%B9%80%E0%B8%A1%E0%B8%A5%E0%B9%87%E0%B8%94%E0%B8%82%E0%B9%89%E0%B8%B2%E0%B8%A7%E0%B9%80%E0%B8%87%E0%B8%B4%E0%B8%99%E0%B9%81%E0%B8%97%E0%B9%89-%E0%B8%A1%E0%B8%B5%E0%B8%A1%E0%B8%99%E0%B8%95%E0%B8%A3%E0%B9%8C-%E0%B8%9E%E0%B8%81%E0%B8%95%E0%B8%B4%E0%B8%94%E0%B8%81%E0%B8%A3%E0%B8%B0%E0%B9%80%E0%B8%9B%E0%B9%8B%E0%B8%B2%E0%B9%80%E0%B8%9B%E0%B9%87%E0%B8%99%E0%B8%A1%E0%B8%87%E0%B8%84%E0%B8%A5-%E0%B8%82%E0%B8%99%E0%B8%B2%E0%B8%94%E0%B9%80%E0%B8%97%E0%B9%88%E0%B8%B2%E0%B9%80%E0%B8%A1%E0%B8%A5%E0%B9%87%E0%B8%94%E0%B8%82%E0%B9%89%E0%B8%B2%E0%B8%A7%E0%B8%88%E0%B8%A3%E0%B8%B4%E0%B8%87-%E0%B8%AA%E0%B8%A7%E0%B8%A2%E0%B8%87%E0%B8%B2%E0%B8%A1-%E0%B9%80%E0%B8%87%E0%B8%B4%E0%B8%99%E0%B9%81%E0%B8%97%E0%B9%89-i.35401261.56758239381?extraParams=%7B%22display_model_id%22%3A390732570177%2C%22model_selection_logic%22%3A2%7D","products/56758239381","2026-07-29T04:19:21.926Z"
"18","47157871944","[ การ์ดมงคล ] การ์ดมงคลเมืองเหือง องค์พระนะหน้าทอง องค์พญานาคสีทอง","999","999","","","","","0","0","จำนวน
สินค้าพร้อมส่ง","Shopee > เครื่องใช้ในบ้าน > อุปกรณ์ตกแต่งบ้าน > ธูป เทียน พระพุทธรูป และของเกี่ยวกับศาสนา","","0","5","การ์ดมงคล การ์ดเมืองเหือง ณ วัดป่าเมืองเหือง วาระพิเศษ คุณกิ่งอธิฐาน พร้อมของมงคลเฉพาะพิเศษภายในการ์ด ✅การ์ด 1 ใบ หน้า-หลัง ในการ์ด มีรูปอธิฐาน พร้อมของมงคลภายในการ์ด 1.องค์พระพุทธนาคนิมิตร ( พระนะหน้าทอง ) พลังงาน เปิดทาง การงาน ความสำเร็จ 2.องค์ปู่พญานาค องค์แม่ย่านาคเทวี แห่ง…","https://shopee.co.th/-%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B9%8C%E0%B8%94%E0%B8%A1%E0%B8%87%E0%B8%84%E0%B8%A5-%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B9%8C%E0%B8%94%E0%B8%A1%E0%B8%87%E0%B8%84%E0%B8%A5%E0%B9%80%E0%B8%A1%E0%B8%B7%E0%B8%AD%E0%B8%87%E0%B9%80%E0%B8%AB%E0%B8%B7%E0%B8%AD%E0%B8%87-%E0%B8%AD%E0%B8%87%E0%B8%84%E0%B9%8C%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B8%99%E0%B8%B0%E0%B8%AB%E0%B8%99%E0%B9%89%E0%B8%B2%E0%B8%97%E0%B8%AD%E0%B8%87-%E0%B8%AD%E0%B8%87%E0%B8%84%E0%B9%8C%E0%B8%9E%E0%B8%8D%E0%B8%B2%E0%B8%99%E0%B8%B2%E0%B8%84%E0%B8%AA%E0%B8%B5%E0%B8%97%E0%B8%AD%E0%B8%87-i.35401261.47157871944?extraParams=%7B%22display_model_id%22%3A282487673879%2C%22model_selection_logic%22%3A3%7D","products/47157871944","2026-07-29T04:19:24.578Z"
"19","40468312433","ปี่เซียะด้ายแดงฮ่องกง ปี่เซียะมีมนตร์ meemon ฮ่องกง","599","599","","","","","0","0","จำนวน
มีสินค้าทั้งหมด 5 ชิ้น","Shopee > เครื่องประดับ > กำไล > อื่นๆ","","0","5","ครั้งแรก! กับ ปี่เซียะ มีมนตร์ ผ่านการทำพิธีโดยซินแสที่ฮ่องกง รับพลังงานดีสุด และกิ่งไปอธิฐานด้วยตนเองให้ค่ะ …..ทำพิธีต้นเดือนกันยาฯนี้ ใน 3 วัดดัง พลังงานดีสุดในเรื่องความปัง *วัดแชกงหมิว **วันหลินฟ้า ***วัดแม่มังกร","https://shopee.co.th/%E0%B8%9B%E0%B8%B5%E0%B9%88%E0%B9%80%E0%B8%8B%E0%B8%B5%E0%B8%A2%E0%B8%B0%E0%B8%94%E0%B9%89%E0%B8%B2%E0%B8%A2%E0%B9%81%E0%B8%94%E0%B8%87%E0%B8%AE%E0%B9%88%E0%B8%AD%E0%B8%87%E0%B8%81%E0%B8%87-%E0%B8%9B%E0%B8%B5%E0%B9%88%E0%B9%80%E0%B8%8B%E0%B8%B5%E0%B8%A2%E0%B8%B0%E0%B8%A1%E0%B8%B5%E0%B8%A1%E0%B8%99%E0%B8%95%E0%B8%A3%E0%B9%8C-meemon-%E0%B8%AE%E0%B9%88%E0%B8%AD%E0%B8%87%E0%B8%81%E0%B8%87-i.35401261.40468312433?extraParams=%7B%22display_model_id%22%3A167303839858%2C%22model_selection_logic%22%3A3%7D","products/40468312433","2026-07-29T04:19:27.589Z"
"20","49407136849","มีมนตร์ กระเป๋าคาด-อก กระเป๋ามีมนตร์ มีกลิ่นหอม มีสัญลักษณ์ดวงตาพีระมิด","1999","1999","","","","5","2","3","จำนวน
สินค้าพร้อมส่ง","Shopee > กระเป๋า > กระเป๋าคาดอก > อื่นๆ","สี: ส้ม | เหลือง | ดำ | เขียว | ม่วง | ขาวครีม | แดง | เขียวนีออน | ชมพูPinkky | เบจ | ชมพูนม","11","13","กระเป๋าคาด-อก มีมนตร์ รุ่นลิมิเตด กระเป๋าคาด-อกผ้า มีมนตร์ รุ่นลิมิเตด ออกแบบมาเพื่อความสะดวกในการใช้งาน ใส่ของได้เยอะ ช่วยให้คุณจัดเก็บของได้อย่างเป็นระเบียบ คุณสมบัติพิเศษ ทนทาน แขงแรง ทำจากผ้าที่มีความทนทาน มีกลิ่นหอม เป็นเอกลักษณ์ มีสัญลักษณ์ดวงตา เพิ่มความพิเศษให้กับกระเป๋า…","https://shopee.co.th/%E0%B8%A1%E0%B8%B5%E0%B8%A1%E0%B8%99%E0%B8%95%E0%B8%A3%E0%B9%8C-%E0%B8%81%E0%B8%A3%E0%B8%B0%E0%B9%80%E0%B8%9B%E0%B9%8B%E0%B8%B2%E0%B8%84%E0%B8%B2%E0%B8%94-%E0%B8%AD%E0%B8%81-%E0%B8%81%E0%B8%A3%E0%B8%B0%E0%B9%80%E0%B8%9B%E0%B9%8B%E0%B8%B2%E0%B8%A1%E0%B8%B5%E0%B8%A1%E0%B8%99%E0%B8%95%E0%B8%A3%E0%B9%8C-%E0%B8%A1%E0%B8%B5%E0%B8%81%E0%B8%A5%E0%B8%B4%E0%B9%88%E0%B8%99%E0%B8%AB%E0%B8%AD%E0%B8%A1-%E0%B8%A1%E0%B8%B5%E0%B8%AA%E0%B8%B1%E0%B8%8D%E0%B8%A5%E0%B8%B1%E0%B8%81%E0%B8%A9%E0%B8%93%E0%B9%8C%E0%B8%94%E0%B8%A7%E0%B8%87%E0%B8%95%E0%B8%B2%E0%B8%9E%E0%B8%B5%E0%B8%A3%E0%B8%B0%E0%B8%A1%E0%B8%B4%E0%B8%94-i.35401261.49407136849?extraParams=%7B%22display_model_id%22%3A310635609295%2C%22model_selection_logic%22%3A3%7D","products/49407136849","2026-07-29T04:19:30.574Z"
"21","45006763759","มีมนตร์ ด้ายดำ ด้ายแดง ม้านำโชคมงคล ผ่านพิธี เสริมความโชคดี ม้ามีมนตร์ กิ่งมีมนตร์","1699","1699","","","","","0","0","จำนวน
สินค้าพร้อมส่ง","Shopee > เครื่องประดับ > กำไล > กำไลแฟชั่น","สี: ด้ายดำ ม้าเงิน | ด้ายดำ ม้าทอง | ด้ายแดง ม้าเงิน | ด้ายแดง ม้าทอง","4","5","ด้ายดำด้ายแดง ม้านำโชค ผ่านพิธี ด้ายแดง นำโชค ด้ายดำ ปัดเป่าสิ่งไม่ดี ใส่คู่กัน มหาเฮง โดย กิ่งมีมนตร์ พร้อมประดับสัญลักษณ์ดวงตา","https://shopee.co.th/%E0%B8%A1%E0%B8%B5%E0%B8%A1%E0%B8%99%E0%B8%95%E0%B8%A3%E0%B9%8C-%E0%B8%94%E0%B9%89%E0%B8%B2%E0%B8%A2%E0%B8%94%E0%B8%B3-%E0%B8%94%E0%B9%89%E0%B8%B2%E0%B8%A2%E0%B9%81%E0%B8%94%E0%B8%87-%E0%B8%A1%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%B3%E0%B9%82%E0%B8%8A%E0%B8%84%E0%B8%A1%E0%B8%87%E0%B8%84%E0%B8%A5-%E0%B8%9C%E0%B9%88%E0%B8%B2%E0%B8%99%E0%B8%9E%E0%B8%B4%E0%B8%98%E0%B8%B5-%E0%B9%80%E0%B8%AA%E0%B8%A3%E0%B8%B4%E0%B8%A1%E0%B8%84%E0%B8%A7%E0%B8%B2%E0%B8%A1%E0%B9%82%E0%B8%8A%E0%B8%84%E0%B8%94%E0%B8%B5-%E0%B8%A1%E0%B9%89%E0%B8%B2%E0%B8%A1%E0%B8%B5%E0%B8%A1%E0%B8%99%E0%B8%95%E0%B8%A3%E0%B9%8C-%E0%B8%81%E0%B8%B4%E0%B9%88%E0%B8%87%E0%B8%A1%E0%B8%B5%E0%B8%A1%E0%B8%99%E0%B8%95%E0%B8%A3%E0%B9%8C-i.35401261.45006763759?extraParams=%7B%22display_model_id%22%3A302434298260%2C%22model_selection_logic%22%3A3%7D","products/45006763759","2026-07-29T04:19:34.339Z"
"22","42268302583","(พร้อมส่ง) พวงกุญแจปี่เซียะมีมนตร์ meemon พิธีฮ่องกง เสริมความมงคล พร้อมเหรียญและน้ำเต้ามงคล","999","999","","","","5","1","2","จำนวน
สินค้าพร้อมส่ง","Shopee > เครื่องเขียน หนังสือ และงานอดิเรก > ของที่ระลึก > พวงกุญแจ","","0","5","(พร้อมส่ง) พวงกุญแจปี่เซียะมีมนตร์ meemon พิธีฮ่องกง เสริมความมงคล พร้อมเหรียญและน้ำเต้ามงคล","https://shopee.co.th/(%E0%B8%9E%E0%B8%A3%E0%B9%89%E0%B8%AD%E0%B8%A1%E0%B8%AA%E0%B9%88%E0%B8%87)-%E0%B8%9E%E0%B8%A7%E0%B8%87%E0%B8%81%E0%B8%B8%E0%B8%8D%E0%B9%81%E0%B8%88%E0%B8%9B%E0%B8%B5%E0%B9%88%E0%B9%80%E0%B8%8B%E0%B8%B5%E0%B8%A2%E0%B8%B0%E0%B8%A1%E0%B8%B5%E0%B8%A1%E0%B8%99%E0%B8%95%E0%B8%A3%E0%B9%8C-meemon-%E0%B8%9E%E0%B8%B4%E0%B8%98%E0%B8%B5%E0%B8%AE%E0%B9%88%E0%B8%AD%E0%B8%87%E0%B8%81%E0%B8%87-%E0%B9%80%E0%B8%AA%E0%B8%A3%E0%B8%B4%E0%B8%A1%E0%B8%84%E0%B8%A7%E0%B8%B2%E0%B8%A1%E0%B8%A1%E0%B8%87%E0%B8%84%E0%B8%A5-%E0%B8%9E%E0%B8%A3%E0%B9%89%E0%B8%AD%E0%B8%A1%E0%B9%80%E0%B8%AB%E0%B8%A3%E0%B8%B5%E0%B8%A2%E0%B8%8D%E0%B9%81%E0%B8%A5%E0%B8%B0%E0%B8%99%E0%B9%89%E0%B8%B3%E0%B9%80%E0%B8%95%E0%B9%89%E0%B8%B2%E0%B8%A1%E0%B8%87%E0%B8%84%E0%B8%A5-i.35401261.42268302583?extraParams=%7B%22display_model_id%22%3A119561351504%2C%22model_selection_logic%22%3A3%7D","products/42268302583","2026-07-29T04:19:37.147Z"
